Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group D,5,Single game,Zwaffle everyone,Leidenfrost/Perriraz,Zwaffle everyone,15,7,,,,,Robin Florinda,Levi Vandaele,,,Nicolas Perriraz,David Leidenfrost,,
Group Stage,Open Pro,Group D,5,Single game,Package E?,Anderle/Petersen,Anderle/Petersen,10,15,,,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,,Markus Anderle,Jan Petersen,,
Group Stage,Open Pro,Group E,5,Single game,Le Spiko de Familia,BigBoys,BigBoys,14,15,,,,,Andreas Christensen,Kasper Søvndal,,,Luca Tosatti,Matteo Sacchini,,
Group Stage,Open Pro,Group F,5,Single game,Misty Moonshot,Christiani/Harder,Misty Moonshot,15,8,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Jonathan Harder,Lucas Christiani,,
Group Stage,Open Pro,Group G,5,Single game,nerds in disguise,🖕🔄,nerds in disguise,15,14,,,,,Stefan Handschmann,David Jindra,,,Tim Bichler,Marcus Gauterin,,
Group Stage,Open Pro,Group A,6,Single game,Triple X,Roundnet Palombie,Triple X,15,11,,,,,Laura Kunzelmann,Paul Siemer,,,Yanis Bouchemoua,Aymeric Sandoz,,
Group Stage,Open Pro,Group A,6,Single game,Find the surname,Off Grid Grinders,Find the surname,15,7,,,,,Roman Peter,Yannick Robert,,,Georg Seiffarth,Pascal Schlosser,,
Group Stage,Open Pro,Group B,6,Single game,NEM - Bazzani/Borsotti,Smile,NEM - Bazzani/Borsotti,15,8,,,,,Andrea Borsotti,Nicola Bazzani,,,Gabriel Stoisser,Felix Millton,,
Group Stage,Open Pro,Group B,6,Single game,TWN - Peng / Chen,Willy Wonka,Willy Wonka,12,15,,,,,Oriol Gonzalez,Søren Høy,,,Rasmus Prüfer,Emil Grönebaum,,
Group Stage,Open Pro,Group C,6,Single game,Pour sophie,Pipino,Pipino,14,15,,,,,Dorian Améziane,Louis Mareschal,,,Giacomo Merlin,riccardo mercadini,,
Group Stage,Open Pro,Group C,6,Single game,BRRRAS,OussaMaë,BRRRAS,15,12,,,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,,Maëlig Potiau,Oussama Tchita,,
Group Stage,Open Pro,Group D,6,Single game,Zwaffle everyone,Package E?,Zwaffle everyone,15,13,,,,,Robin Florinda,Levi Vandaele,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,
Group Stage,Open Pro,Group D,6,Single game,Leidenfrost/Perriraz,Anderle/Petersen,Leidenfrost/Perriraz,15,2,,,,,Nicolas Perriraz,David Leidenfrost,,,Markus Anderle,Jan Petersen,,
Group Stage,Open Pro,Group E,6,Single game,BigBoys,put ons,put ons,14,15,,,,,Luca Tosatti,Matteo Sacchini,,,Dominik Moritz,Aleksandrs Juška,,
Group Stage,Open Pro,Group F,6,Single game,Christiani/Harder,Minor,Christiani/Harder,15,4,,,,,Jonathan Harder,Lucas Christiani,,,Max Jansson,Paul Halphen,,
Group Stage,Open Pro,Group G,6,Single game,🖕🔄,TV Time,TV Time,14,15,,,,,Tim Bichler,Marcus Gauterin,,,Frederik Theunis,Gauthier Vandamme,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,BRRRAS,TWN - Peng / Chen,BRRRAS,13,15,15,13,15,10,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,,Oriol Gonzalez,Søren Høy,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,BigBoys,Pipino,BigBoys,17,15,15,11,,,Luca Tosatti,Matteo Sacchini,,,Giacomo Merlin,riccardo mercadini,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,TV Time,Roundnet Palombie,TV Time,15,11,12,15,15,6,Frederik Theunis,Gauthier Vandamme,,,Yanis Bouchemoua,Aymeric Sandoz,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,🖕🔄,Package E?,🖕🔄,15,11,15,12,,,Tim Bichler,Marcus Gauterin,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,nerds in disguise,Minor,nerds in disguise,15,7,12,15,15,5,Stefan Handschmann,David Jindra,,,Max Jansson,Paul Halphen,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,Willy Wonka,Leidenfrost/Perriraz,Willy Wonka,15,9,1,15,15,6,Rasmus Prüfer,Emil Grönebaum,,,Nicolas Perriraz,David Leidenfrost,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,Find the surname,put ons,Find the surname,15,7,15,9,,,Roman Peter,Yannick Robert,,,Dominik Moritz,Aleksandrs Juška,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,Smile,Anderle/Petersen,Smile,15,13,15,7,,,Gabriel Stoisser,Felix Millton,,,Markus Anderle,Jan Petersen,,
Bracket Stage new,Open Pro,Bracket A,Round of 32,Best of 3,OussaMaë,Off Grid Grinders,Off Grid Grinders,11,15,15,10,8,15,Maëlig Potiau,Oussama Tchita,,,Georg Seiffarth,Pascal Schlosser,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Zwaffle everyone,Off Grid Grinders,Zwaffle everyone,15,13,15,6,,,Robin Florinda,Levi Vandaele,,,Georg Seiffarth,Pascal Schlosser,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,NEM - Bazzani/Borsotti,Smile,NEM - Bazzani/Borsotti,16,14,15,7,,,Andrea Borsotti,Nicola Bazzani,,,Gabriel Stoisser,Felix Millton,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Misty Moonshot,Find the surname,Misty Moonshot,15,9,15,13,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Roman Peter,Yannick Robert,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Le Spiko de Familia,Willy Wonka,Willy Wonka,13,15,8,15,,,Andreas Christensen,Kasper Søvndal,,,Rasmus Prüfer,Emil Grönebaum,,
