Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,TBC - To Be Catalan,Insane Mainzset,Insane Mainzset,10,15,13,15,,,Ernest Cardona Plantada,Paul Volle,,,Lars Rudorf,Malte Fromm,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,SSUP Conga,Insane Mainzset,SSUP Conga,12,15,16,14,16,14,Bendix Heß,Noah Rohloff,,,Lars Rudorf,Malte Fromm,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Uno Reverse,Xavi / Chris,Uno Reverse,15,8,15,9,,,Martijn Paes,Daan Paes,,,Xavi Fermoso,Christopher Behrmann,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Blueberrinni Octopussinni,RRR (Rnt Rivals Reunited) 🐯,Blueberrinni Octopussinni,15,11,15,10,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Senthil Siva,Alberto Amato,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Chaos Theory,RCG ChrisTops,Chaos Theory,15,8,15,10,,,Christian Brødsgaard,Mathias Linnet,,,Thomas Pschaid,Christoph Lorenzoni,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Deepdive-Darmstadt,Kreutzer/Klapperich,Kreutzer/Klapperich,15,13,15,17,9,15,Niklas Grünewald,Max Syndikus,,,Kaspar Kreutzer,Justus Klapperich,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Holesome,Holy T,Holesome,15,12,15,9,,,Till Ullmann,Paul Schirop,,,Jannik Tiemann,Benny Gottwald,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,WS Dudzik/Kusztal,Bro or no?,WS Dudzik/Kusztal,17,16,11,15,15,13,Jakub Kusztal,Janek Dudzik,,,Olivier Saunier,Alexandre Thiollière,,
Bracket Stage new,Open Contender,Bracket A,Round of 16,Best of 3,Double Roll Up,WS Git Back,WS Git Back,9,15,17,19,,,Alexandre ROLLOIS,Antoine .R,,,Max Łochowski,Joe Kerridge,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,TBC - To Be Catalan,Defensive Duo,Defensive Duo,17,21,,,,,Ernest Cardona Plantada,Paul Volle,,,Tomer Kedar,Micha Daling,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Les Joutoux,dunno,dunno,14,21,,,,,Bryan Rodon,Emeric Lemoine,,,Oscar De Ridder,Pierre Hülsemann,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Bacchus e benessere,16Max 🦊,Bacchus e benessere,21,18,,,,,Louen Previtali,luc beltrando,,,Cesar Jottrand,Maxime Despontin,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Brussels Canine 🦊,WS Beer,Brussels Canine 🦊,21,15,,,,,Gilles Hublet,Igor Jottrand,,,Michał Kusztal,Mateusz Kusztal,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Raptor and Wolf,WaWaWeeWa,WaWaWeeWa,18,21,,,,,Alexandre Esposito,Martin Clotman,,,Fabian Hagen,Maher Saadeddin,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Streuselbrötchen,Flying Focas,Flying Focas,22,24,,,,,Rafael Miranda Lima,Henning Franzel,,,Maximilian Portee,Franco Munoz,,
Bracket Stage new,Open Contender,Bracket A,P17: Round of 16,Single game,Demon Time,V-Kings,Demon Time,21,14,,,,,Toan Pauwels,Irian Baert,,,wout thysens,Tuur Demaegdt,,
Bracket Stage new,Open Contender,Bracket A,Quarter-final,Best of 3,SSUP Conga,WS Git Back,SSUP Conga,15,12,15,9,,,Bendix Heß,Noah Rohloff,,,Max Łochowski,Joe Kerridge,,
Bracket Stage new,Open Contender,Bracket A,Quarter-final,Best of 3,Uno Reverse,WS Dudzik/Kusztal,Uno Reverse,1,0,0,1,1,0,Martijn Paes,Daan Paes,,,Jakub Kusztal,Janek Dudzik,,
Bracket Stage new,Open Contender,Bracket A,Quarter-final,Best of 3,Blueberrinni Octopussinni,Holesome,Holesome,16,18,15,17,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Till Ullmann,Paul Schirop,,
Bracket Stage new,Open Contender,Bracket A,Quarter-final,Best of 3,Chaos Theory,Kreutzer/Klapperich,Kreutzer/Klapperich,15,11,9,15,12,15,Christian Brødsgaard,Mathias Linnet,,,Kaspar Kreutzer,Justus Klapperich,,
Bracket Stage new,Open Contender,Bracket A,P9: Quarter-final,Single game,Double Roll Up,Insane Mainzset,Insane Mainzset,19,21,,,,,Alexandre ROLLOIS,Antoine .R,,,Lars Rudorf,Malte Fromm,,
Bracket Stage new,Open Contender,Bracket A,P9: Quarter-final,Single game,Bro or no?,Xavi / Chris,Bro or no?,25,23,,,,,Olivier Saunier,Alexandre Thiollière,,,Xavi Fermoso,Christopher Behrmann,,
Bracket Stage new,Open Contender,Bracket A,P9: Quarter-final,Single game,Holy T,RRR (Rnt Rivals Reunited) 🐯,Holy T,21,16,,,,,Jannik Tiemann,Benny Gottwald,,,Senthil Siva,Alberto Amato,,
Bracket Stage new,Open Contender,Bracket A,P9: Quarter-final,Single game,Deepdive-Darmstadt,RCG ChrisTops,RCG ChrisTops,20,22,,,,,Niklas Grünewald,Max Syndikus,,,Thomas Pschaid,Christoph Lorenzoni,,
Bracket Stage new,Open Contender,Bracket A,P17: Quarter-final,Single game,Defensive Duo,Demon Time,Demon Time,16,21,,,,,Tomer Kedar,Micha Daling,,,Toan Pauwels,Irian Baert,,
Bracket Stage new,Open Contender,Bracket A,P17: Quarter-final,Single game,dunno,Flying Focas,dunno,21,17,,,,,Oscar De Ridder,Pierre Hülsemann,,,Maximilian Portee,Franco Munoz,,
Bracket Stage new,Open Contender,Bracket A,P17: Quarter-final,Single game,Bacchus e benessere,WaWaWeeWa,WaWaWeeWa,7,21,,,,,Louen Previtali,luc beltrando,,,Fabian Hagen,Maher Saadeddin,,
Bracket Stage new,Open Contender,Bracket A,P17: Quarter-final,Single game,Limón y Pumba,Brussels Canine 🦊,Limón y Pumba,21,19,,,,,Tavo Garcia,Topias Zein,,,Gilles Hublet,Igor Jottrand,,
Bracket Stage new,Open Contender,Bracket A,P25: Quarter-final,Single game,V-Kings,TBC - To Be Catalan,V-Kings,21,16,,,,,wout thysens,Tuur Demaegdt,,,Ernest Cardona Plantada,Paul Volle,,
Bracket Stage new,Open Contender,Bracket A,P25: Quarter-final,Single game,Streuselbrötchen,Les Joutoux,Streuselbrötchen,22,20,,,,,Rafael Miranda Lima,Henning Franzel,,,Bryan Rodon,Emeric Lemoine,,
Bracket Stage new,Open Contender,Bracket A,P25: Quarter-final,Single game,Raptor and Wolf,16Max 🦊,Raptor and Wolf,21,11,,,,,Alexandre Esposito,Martin Clotman,,,Cesar Jottrand,Maxime Despontin,,
Bracket Stage new,Open Contender,Bracket A,Semi-final,Best of 3,SSUP Conga,Kreutzer/Klapperich,Kreutzer/Klapperich,0,1,0,1,,,Bendix Heß,Noah Rohloff,,,Kaspar Kreutzer,Justus Klapperich,,
Bracket Stage new,Open Contender,Bracket A,Semi-final,Best of 3,Uno Reverse,Holesome,Uno Reverse,21,16,19,21,25,23,Martijn Paes,Daan Paes,,,Till Ullmann,Paul Schirop,,
Bracket Stage new,Open Contender,Bracket A,P5: Semi-final,Single game,Chaos Theory,WS Git Back,Chaos Theory,21,13,,,,,Christian Brødsgaard,Mathias Linnet,,,Max Łochowski,Joe Kerridge,,
Bracket Stage new,Open Contender,Bracket A,P5: Semi-final,Single game,Blueberrinni Octopussinni,WS Dudzik/Kusztal,WS Dudzik/Kusztal,19,21,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Jakub Kusztal,Janek Dudzik,,
Bracket Stage new,Open Contender,Bracket A,P9: Semi-final,Single game,Insane Mainzset,RCG ChrisTops,RCG ChrisTops,17,21,,,,,Lars Rudorf,Malte Fromm,,,Thomas Pschaid,Christoph Lorenzoni,,
Bracket Stage new,Open Contender,Bracket A,P9: Semi-final,Single game,Bro or no?,Holy T,Holy T,19,21,,,,,Olivier Saunier,Alexandre Thiollière,,,Jannik Tiemann,Benny Gottwald,,
Bracket Stage new,Open Contender,Bracket A,P13: Semi-final,Single game,Deepdive-Darmstadt,Double Roll Up,Deepdive-Darmstadt,21,19,,,,,Niklas Grünewald,Max Syndikus,,,Alexandre ROLLOIS,Antoine .R,,
Bracket Stage new,Open Contender,Bracket A,P13: Semi-final,Single game,RRR (Rnt Rivals Reunited) 🐯,Xavi / Chris,Xavi / Chris,12,21,,,,,Senthil Siva,Alberto Amato,,,Xavi Fermoso,Christopher Behrmann,,
Bracket Stage new,Open Contender,Bracket A,P17: Semi-final,Single game,Demon Time,Limón y Pumba,Demon Time,36,34,,,,,Toan Pauwels,Irian Baert,,,Tavo Garcia,Topias Zein,,
Bracket Stage new,Open Contender,Bracket A,P17: Semi-final,Single game,dunno,WaWaWeeWa,dunno,21,17,,,,,Oscar De Ridder,Pierre Hülsemann,,,Fabian Hagen,Maher Saadeddin,,
Bracket Stage new,Open Contender,Bracket A,P21: Semi-final,Single game,Brussels Canine 🦊,Defensive Duo,Defensive Duo,22,24,,,,,Gilles Hublet,Igor Jottrand,,,Tomer Kedar,Micha Daling,,
Bracket Stage new,Open Contender,Bracket A,P21: Semi-final,Single game,Bacchus e benessere,Flying Focas,Bacchus e benessere,21,18,,,,,Louen Previtali,luc beltrando,,,Maximilian Portee,Franco Munoz,,
Bracket Stage new,Open Contender,Bracket A,P25: Semi-final,Single game,V-Kings,WS Beer,WS Beer,14,21,,,,,wout thysens,Tuur Demaegdt,,,Michał Kusztal,Mateusz Kusztal,,
Bracket Stage new,Open Contender,Bracket A,P25: Semi-final,Single game,Streuselbrötchen,Raptor and Wolf,Streuselbrötchen,21,16,,,,,Rafael Miranda Lima,Henning Franzel,,,Alexandre Esposito,Martin Clotman,,
Bracket Stage new,Open Contender,Bracket A,P29: Semi-final,Single game,16Max 🦊,Les Joutoux,Les Joutoux,17,21,,,,,Cesar Jottrand,Maxime Despontin,,,Bryan Rodon,Emeric Lemoine,,
Bracket Stage new,Open Contender,Bracket A,Final,Best of 3,Kreutzer/Klapperich,Uno Reverse,Uno Reverse,0,1,1,0,0,1,Kaspar Kreutzer,Justus Klapperich,,,Martijn Paes,Daan Paes,,
Bracket Stage new,Open Contender,Bracket A,P3: Final,Single game,Holesome,SSUP Conga,Holesome,21,19,,,,,Till Ullmann,Paul Schirop,,,Bendix Heß,Noah Rohloff,,
Bracket Stage new,Open Contender,Bracket A,P5: Final,Single game,Chaos Theory,WS Dudzik/Kusztal,WS Dudzik/Kusztal,18,21,,,,,Christian Brødsgaard,Mathias Linnet,,,Jakub Kusztal,Janek Dudzik,,
Bracket Stage new,Open Contender,Bracket A,P11: Final,Single game,Bro or no?,Insane Mainzset,Bro or no?,1,0,,,,,Olivier Saunier,Alexandre Thiollière,,,Lars Rudorf,Malte Fromm,,
Bracket Stage new,Open Contender,Bracket A,P13: Final,Single game,Deepdive-Darmstadt,Xavi / Chris,Xavi / Chris,24,26,,,,,Niklas Grünewald,Max Syndikus,,,Xavi Fermoso,Christopher Behrmann,,
Bracket Stage new,Open Contender,Bracket A,P17: Final,Single game,Demon Time,dunno,Demon Time,21,18,,,,,Toan Pauwels,Irian Baert,,,Oscar De Ridder,Pierre Hülsemann,,
Bracket Stage new,Open Contender,Bracket A,P23: Final,Single game,Flying Focas,Brussels Canine 🦊,Flying Focas,21,19,,,,,Maximilian Portee,Franco Munoz,,,Gilles Hublet,Igor Jottrand,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,Men in block,Antwerp Raptors 🦖,Men in block,15,10,15,10,,,Quentin COUYRAS,Jean Kervella,,,Brecht Van den Steen,Niels Verbois,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,Back to the drawing board,Don‘t poke the lobsters,Back to the drawing board,17,16,15,10,,,Daniel Ashton,Charlie Wilson,,,Nicolas Manneback,Kai Svoboda,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,Holy Duck,Titanic Duo,Holy Duck,15,10,15,11,,,Jakob Blaaholm Nielsen,David Lyngbye,,,Fouliard Baptiste,Quentin Rouhier,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,Le beurre et l'argent du beurre,WS Gołaszewski/Foks,Le beurre et l'argent du beurre,15,10,15,10,,,Alec Gautier,karim lahoud,,,Andrzej Gołaszewski,Mateusz Foks,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,NEM Tropical Vikings,Createam,Createam,13,15,17,15,14,16,Johannes Modalsli,Gerardo Goar,,,Harshil Shah,Andrew Pelton,,
Bracket Stage new,Open Contender,Bracket B,Round of 16,Best of 3,Swisschoclate,SpikeOps,Swisschoclate,16,15,13,15,15,13,Noé Reinhardt,Théo Zwahlen,,,Adriaan Van Gerven,Wout Seynaeve,,
Bracket Stage new,Open Contender,Bracket B,Quarter-final,Best of 3,Les petits flocons,Swisschoclate,Les petits flocons,1,0,0,1,1,0,Simon Chervin,Remi Salles,,,Noé Reinhardt,Théo Zwahlen,,
Bracket Stage new,Open Contender,Bracket B,Quarter-final,Best of 3,Men in block,Le beurre et l'argent du beurre,Le beurre et l'argent du beurre,15,12,13,15,8,15,Quentin COUYRAS,Jean Kervella,,,Alec Gautier,karim lahoud,,
Bracket Stage new,Open Contender,Bracket B,Quarter-final,Best of 3,Back to the drawing board,Holy Duck,Holy Duck,10,15,11,15,,,Daniel Ashton,Charlie Wilson,,,Jakob Blaaholm Nielsen,David Lyngbye,,
Bracket Stage new,Open Contender,Bracket B,P9: Quarter-final,Single game,WS Gołaszewski/Foks,Antwerp Raptors 🦖,Antwerp Raptors 🦖,25,27,,,,,Andrzej Gołaszewski,Mateusz Foks,,,Brecht Van den Steen,Niels Verbois,,
Bracket Stage new,Open Contender,Bracket B,P9: Quarter-final,Single game,Titanic Duo,Don‘t poke the lobsters,Don‘t poke the lobsters,15,21,,,,,Fouliard Baptiste,Quentin Rouhier,,,Nicolas Manneback,Kai Svoboda,,
Bracket Stage new,Open Contender,Bracket B,Semi-final,Best of 3,Les petits flocons,Holy Duck,Les petits flocons,1,0,0,1,1,0,Simon Chervin,Remi Salles,,,Jakob Blaaholm Nielsen,David Lyngbye,,
Bracket Stage new,Open Contender,Bracket B,Semi-final,Best of 3,Createam,Le beurre et l'argent du beurre,Le beurre et l'argent du beurre,11,15,11,15,,,Harshil Shah,Andrew Pelton,,,Alec Gautier,karim lahoud,,
Bracket Stage new,Open Contender,Bracket B,P5: Semi-final,Single game,Back to the drawing board,Swisschoclate,Swisschoclate,0,1,1,0,0,1,Daniel Ashton,Charlie Wilson,,,Noé Reinhardt,Théo Zwahlen,,
Bracket Stage new,Open Contender,Bracket B,P9: Semi-final,Single game,SpikeOps,Don‘t poke the lobsters,SpikeOps,21,17,,,,,Adriaan Van Gerven,Wout Seynaeve,,,Nicolas Manneback,Kai Svoboda,,
Bracket Stage new,Open Contender,Bracket B,P9: Semi-final,Single game,NEM Tropical Vikings,Antwerp Raptors 🦖,NEM Tropical Vikings,21,14,,,,,Johannes Modalsli,Gerardo Goar,,,Brecht Van den Steen,Niels Verbois,,
Bracket Stage new,Open Contender,Bracket B,Final,Best of 3,Les petits flocons,Le beurre et l'argent du beurre,Les petits flocons,1,0,1,0,,,Simon Chervin,Remi Salles,,,Alec Gautier,karim lahoud,,
Bracket Stage new,Open Contender,Bracket B,P5: Final,Single game,Swisschoclate,Men in block,Swisschoclate,1,0,0,1,1,0,Noé Reinhardt,Théo Zwahlen,,,Quentin COUYRAS,Jean Kervella,,
Bracket Stage new,Open Contender,Bracket B,P9: Final,Single game,SpikeOps,NEM Tropical Vikings,SpikeOps,1,0,1,0,,,Adriaan Van Gerven,Wout Seynaeve,,,Johannes Modalsli,Gerardo Goar,,
Bracket Stage new,Open Contender,Bracket B,P13: Final,Single game,Titanic Duo,WS Gołaszewski/Foks,WS Gołaszewski/Foks,15,21,,,,,Fouliard Baptiste,Quentin Rouhier,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Women's Pro,Group A,1,Single game,Zanella/Kadlec,somos belgos,Zanella/Kadlec,15,7,,,,,Silvia Zanella,Daniela Kadlec,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group A,1,Single game,al dente,Zinondine Zidane,al dente,15,11,,,,,Sophie Cooke,Mirjam Wiedmer,,,ondine novarese,Anaïs Duport,,
Group Stage,Women's Pro,Group B,1,Single game,Ferd&Friend,Slay,Slay,10,15,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group B,1,Single game,Waves Energy,AA,AA,5,15,,,,,Beatrice Tărășilă,Alina Pîrlea,,,Amely Joly,Aylin Altenwegner,,
Group Stage,Women's Pro,Group C,1,Single game,C’est ok.,069 Biflickual,C’est ok.,15,5,,,,,Jade Lacombe,Inès Paysan,,,Theresa Henke,Ricarda Witt,,
Group Stage,Women's Pro,Group D,1,Single game,1998 Energy,alles grün,alles grün,12,15,,,,,Sabina Labonc,Nicole Fatt,,,Saskia Benter,Nora Haas,,
Group Stage,Women's Pro,Group A,2,Single game,Zanella/Kadlec,Zinondine Zidane,Zanella/Kadlec,15,12,,,,,Silvia Zanella,Daniela Kadlec,,,ondine novarese,Anaïs Duport,,
Group Stage,Women's Pro,Group A,2,Single game,al dente,somos belgos,al dente,15,9,,,,,Sophie Cooke,Mirjam Wiedmer,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group B,2,Single game,Ferd&Friend,AA,Ferd&Friend,15,13,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Amely Joly,Aylin Altenwegner,,
Group Stage,Women's Pro,Group B,2,Single game,Waves Energy,Slay,Slay,7,15,,,,,Beatrice Tărășilă,Alina Pîrlea,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group C,2,Single game,C’est ok.,Rise and Smash,C’est ok.,15,13,,,,,Jade Lacombe,Inès Paysan,,,Svenja Kühner,Jule Grill,,
Group Stage,Women's Pro,Group D,2,Single game,1998 Energy,Lock‘n roll,Lock‘n roll,12,15,,,,,Sabina Labonc,Nicole Fatt,,,Alina Teskey,Theresa Knauf,,
Group Stage,Women's Pro,Group A,3,Single game,Zanella/Kadlec,al dente,Zanella/Kadlec,15,5,,,,,Silvia Zanella,Daniela Kadlec,,,Sophie Cooke,Mirjam Wiedmer,,
Group Stage,Women's Pro,Group A,3,Single game,Zinondine Zidane,somos belgos,Zinondine Zidane,15,7,,,,,ondine novarese,Anaïs Duport,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group B,3,Single game,Ferd&Friend,Waves Energy,Waves Energy,10,15,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Beatrice Tărășilă,Alina Pîrlea,,
Group Stage,Women's Pro,Group B,3,Single game,AA,Slay,Slay,14,15,,,,,Amely Joly,Aylin Altenwegner,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group C,3,Single game,Rise and Smash,069 Biflickual,069 Biflickual,12,15,,,,,Svenja Kühner,Jule Grill,,,Theresa Henke,Ricarda Witt,,
Group Stage,Women's Pro,Group D,3,Single game,Lock‘n roll,alles grün,Lock‘n roll,15,10,,,,,Alina Teskey,Theresa Knauf,,,Saskia Benter,Nora Haas,,
Group Stage,Women's Pro,Group A,4,Single game,Zanella/Kadlec,somos belgos,Zanella/Kadlec,15,4,,,,,Silvia Zanella,Daniela Kadlec,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group A,4,Single game,al dente,Zinondine Zidane,Zinondine Zidane,13,15,,,,,Sophie Cooke,Mirjam Wiedmer,,,ondine novarese,Anaïs Duport,,
Group Stage,Women's Pro,Group B,4,Single game,Ferd&Friend,Slay,Slay,14,15,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group B,4,Single game,Waves Energy,AA,AA,12,15,,,,,Beatrice Tărășilă,Alina Pîrlea,,,Amely Joly,Aylin Altenwegner,,
Group Stage,Women's Pro,Group C,4,Single game,C’est ok.,069 Biflickual,C’est ok.,15,10,,,,,Jade Lacombe,Inès Paysan,,,Theresa Henke,Ricarda Witt,,
Group Stage,Women's Pro,Group D,4,Single game,1998 Energy,alles grün,alles grün,13,15,,,,,Sabina Labonc,Nicole Fatt,,,Saskia Benter,Nora Haas,,
Group Stage,Women's Pro,Group A,5,Single game,Zanella/Kadlec,Zinondine Zidane,Zanella/Kadlec,15,9,,,,,Silvia Zanella,Daniela Kadlec,,,ondine novarese,Anaïs Duport,,
Group Stage,Women's Pro,Group A,5,Single game,al dente,somos belgos,al dente,15,14,,,,,Sophie Cooke,Mirjam Wiedmer,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group B,5,Single game,Ferd&Friend,AA,Ferd&Friend,15,10,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Amely Joly,Aylin Altenwegner,,
Group Stage,Women's Pro,Group B,5,Single game,Waves Energy,Slay,Slay,1,15,,,,,Beatrice Tărășilă,Alina Pîrlea,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group C,5,Single game,C’est ok.,Rise and Smash,C’est ok.,15,9,,,,,Jade Lacombe,Inès Paysan,,,Svenja Kühner,Jule Grill,,
Group Stage,Women's Pro,Group D,5,Single game,1998 Energy,Lock‘n roll,Lock‘n roll,8,15,,,,,Sabina Labonc,Nicole Fatt,,,Alina Teskey,Theresa Knauf,,
Group Stage,Women's Pro,Group A,6,Single game,Zanella/Kadlec,al dente,Zanella/Kadlec,15,2,,,,,Silvia Zanella,Daniela Kadlec,,,Sophie Cooke,Mirjam Wiedmer,,
Group Stage,Women's Pro,Group A,6,Single game,Zinondine Zidane,somos belgos,Zinondine Zidane,15,11,,,,,ondine novarese,Anaïs Duport,,,Margaux Thieren,Juliette Dumesnil,,
Group Stage,Women's Pro,Group B,6,Single game,Ferd&Friend,Waves Energy,Ferd&Friend,15,10,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Beatrice Tărășilă,Alina Pîrlea,,
Group Stage,Women's Pro,Group B,6,Single game,AA,Slay,Slay,5,15,,,,,Amely Joly,Aylin Altenwegner,,,Klara Bauer,Sophia Walter,,
Group Stage,Women's Pro,Group C,6,Single game,Rise and Smash,069 Biflickual,Rise and Smash,15,10,,,,,Svenja Kühner,Jule Grill,,,Theresa Henke,Ricarda Witt,,
Group Stage,Women's Pro,Group D,6,Single game,Lock‘n roll,alles grün,alles grün,8,15,,,,,Alina Teskey,Theresa Knauf,,,Saskia Benter,Nora Haas,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,C’est ok.,somos belgos,C’est ok.,15,7,15,7,,,Jade Lacombe,Inès Paysan,,,Margaux Thieren,Juliette Dumesnil,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,Lock‘n roll,Waves Energy,Lock‘n roll,15,8,15,9,,,Alina Teskey,Theresa Knauf,,,Beatrice Tărășilă,Alina Pîrlea,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,alles grün,1998 Energy,alles grün,15,13,17,16,,,Saskia Benter,Nora Haas,,,Sabina Labonc,Nicole Fatt,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,Ferd&Friend,AA,Ferd&Friend,15,13,15,10,,,Ronja Lorenz,Jessi Riedelsheimer,,,Amely Joly,Aylin Altenwegner,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,Zinondine Zidane,069 Biflickual,069 Biflickual,12,15,7,15,,,ondine novarese,Anaïs Duport,,,Theresa Henke,Ricarda Witt,,
Bracket Stage new,Women's Pro,Bracket A,Round of 16,Best of 3,Rise and Smash,al dente,Rise and Smash,15,11,15,9,,,Svenja Kühner,Jule Grill,,,Sophie Cooke,Mirjam Wiedmer,,
Bracket Stage new,Women's Pro,Bracket A,Quarter-final,Best of 3,Zanella/Kadlec,Rise and Smash,Zanella/Kadlec,15,12,15,6,,,Silvia Zanella,Daniela Kadlec,,,Svenja Kühner,Jule Grill,,
Bracket Stage new,Women's Pro,Bracket A,Quarter-final,Best of 3,Slay,069 Biflickual,Slay,16,14,15,13,,,Klara Bauer,Sophia Walter,,,Theresa Henke,Ricarda Witt,,
Bracket Stage new,Women's Pro,Bracket A,Quarter-final,Best of 3,C’est ok.,Ferd&Friend,Ferd&Friend,10,15,16,17,,,Jade Lacombe,Inès Paysan,,,Ronja Lorenz,Jessi Riedelsheimer,,
Bracket Stage new,Women's Pro,Bracket A,Quarter-final,Best of 3,Lock‘n roll,alles grün,alles grün,15,10,10,15,13,15,Alina Teskey,Theresa Knauf,,,Saskia Benter,Nora Haas,,
Bracket Stage new,Women's Pro,Bracket A,P9: Quarter-final,Single game,AA,somos belgos,AA,21,15,,,,,Amely Joly,Aylin Altenwegner,,,Margaux Thieren,Juliette Dumesnil,,
Bracket Stage new,Women's Pro,Bracket A,P9: Quarter-final,Single game,1998 Energy,Waves Energy,1998 Energy,22,20,,,,,Sabina Labonc,Nicole Fatt,,,Beatrice Tărășilă,Alina Pîrlea,,
Bracket Stage new,Women's Pro,Bracket A,Semi-final,Best of 3,Zanella/Kadlec,alles grün,alles grün,18,21,21,16,18,21,Silvia Zanella,Daniela Kadlec,,,Saskia Benter,Nora Haas,,
Bracket Stage new,Women's Pro,Bracket A,Semi-final,Best of 3,Slay,Ferd&Friend,Slay,23,21,21,18,,,Klara Bauer,Sophia Walter,,,Ronja Lorenz,Jessi Riedelsheimer,,
Bracket Stage new,Women's Pro,Bracket A,P5: Semi-final,Single game,Lock‘n roll,Rise and Smash,Lock‘n roll,21,17,,,,,Alina Teskey,Theresa Knauf,,,Svenja Kühner,Jule Grill,,
Bracket Stage new,Women's Pro,Bracket A,P9: Semi-final,Single game,al dente,1998 Energy,al dente,21,18,,,,,Sophie Cooke,Mirjam Wiedmer,,,Sabina Labonc,Nicole Fatt,,
Bracket Stage new,Women's Pro,Bracket A,P9: Semi-final,Single game,Zinondine Zidane,AA,Zinondine Zidane,21,19,,,,,ondine novarese,Anaïs Duport,,,Amely Joly,Aylin Altenwegner,,
Bracket Stage new,Women's Pro,Bracket A,Final,Best of 3,alles grün,Slay,Slay,19,21,9,21,,,Saskia Benter,Nora Haas,,,Klara Bauer,Sophia Walter,,
Bracket Stage new,Women's Pro,Bracket A,P3: Final,Single game,Ferd&Friend,Zanella/Kadlec,Zanella/Kadlec,15,17,,,,,Ronja Lorenz,Jessi Riedelsheimer,,,Silvia Zanella,Daniela Kadlec,,
Bracket Stage new,Women's Pro,Bracket A,P5: Final,Single game,Lock‘n roll,069 Biflickual,Lock‘n roll,21,18,,,,,Alina Teskey,Theresa Knauf,,,Theresa Henke,Ricarda Witt,,
Bracket Stage new,Women's Pro,Bracket A,P9: Final,Single game,al dente,Zinondine Zidane,Zinondine Zidane,7,21,,,,,Sophie Cooke,Mirjam Wiedmer,,,ondine novarese,Anaïs Duport,,
Bracket Stage new,Women's Pro,Bracket A,P11: Final,Single game,AA,1998 Energy,1998 Energy,14,21,,,,,Amely Joly,Aylin Altenwegner,,,Sabina Labonc,Nicole Fatt,,
