Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Bracket,Open,Bracket A,Semi-final,Best of 3,The Blocksmiths,Lobster Boys,The Blocksmiths,20,18,12,15,16,14,,,,,Aske Hammar,Jeppe Norlyk Hansen,Malte Klinkby,Christian Brødsgaard
Bracket,Open,Bracket A,Winners final,Best of 3,Möbelträger/Siemens,The Blocksmiths,Möbelträger/Siemens,21,18,21,17,,,,,,,Andreas Christensen,Kasper Søvndal,Aske Hammar,Jeppe Norlyk Hansen
Bracket,Open,Bracket A,Final,Best of 3,Möbelträger/Siemens,Spikeghetti,Möbelträger/Siemens,21,18,21,17,,,,,,,Andreas Christensen,Kasper Søvndal,Jakob G. Damgaard,Hjalte Knudsen
Bracket,Open,Bracket A,Losers QF,Single game,PocketMonsters,SpikeTaculars,PocketMonsters,21,7,,,,,,,,,Niklas Daugbjerg,Christian Hurley,Christoffer Heide Farre,Mikael Kjems Byskov Andersen
Bracket,Open,Bracket A,Losers QF,Single game,Better late than never...,Nøk,Better late than never...,21,5,,,,,,,,,Jonatan Hauge Steffensen,Anders Aaen Springborg,Marinus Andersen,André Pallesen
Bracket,Open,Bracket A,Losers QF,Single game,Lyn Bjørnen,Mr. Swing Ping,Lyn Bjørnen,25,24,,,,,,,,,Asbjørn Ditlev,David Lyngbye,Ingvi Örnolfsson,Peter Madsen
Bracket,Open,Bracket A,Losers QF,Single game,SPIKØS,Rally Rookies,SPIKØS,21,16,,,,,,,,,Daniel Henriksen,Sebastian  Dirchsen Nielsen,Jonas Kjældgaard Pedersen,Mikkel Dusi
Bracket,Open,Bracket A,Losers Minor SF,Single game,PocketMonsters,SPIKØS,SPIKØS,20,22,,,,,,,,,Niklas Daugbjerg,Christian Hurley,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Bracket,Open,Bracket A,Losers Minor SF,Single game,Better late than never...,Lyn Bjørnen,Lyn Bjørnen,16,21,,,,,,,,,Jonatan Hauge Steffensen,Anders Aaen Springborg,Asbjørn Ditlev,David Lyngbye
Bracket,Open,Bracket A,Losers SF,Single game,Lobster Boys,Lyn Bjørnen,Lobster Boys,21,17,,,,,,,,,Malte Klinkby,Christian Brødsgaard,Asbjørn Ditlev,David Lyngbye
Bracket,Open,Bracket A,Losers SF,Single game,Spikeghetti,SPIKØS,Spikeghetti,21,9,,,,,,,,,Jakob G. Damgaard,Hjalte Knudsen,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Bracket,Open,Bracket A,Losers Minor Final,Single game,Lobster Boys,Spikeghetti,Spikeghetti,12,21,,,,,,,,,Malte Klinkby,Christian Brødsgaard,Jakob G. Damgaard,Hjalte Knudsen
Bracket,Open,Bracket A,Losers Final,Single game,The Blocksmiths,Spikeghetti,Spikeghetti,16,21,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Jakob G. Damgaard,Hjalte Knudsen
