Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Bracket Stage,Women's Advanced,Bracket A,Quarter-final,Best of 3,C'est ok.,Diel or no Diel,C'est ok.,0,1,1,0,1,0,Jade Lacombe,Inès Paysan,,Shauny Dieltjes,Shannon Dieltjes,
Bracket Stage,Women's Advanced,Bracket A,Quarter-final,Best of 3,Aaaaaah sh*t,Gro-go-go!,Aaaaaah sh*t,15,8,15,10,,,Britt Vankemenade,Marie-Alexia Teisseyre,,Linde Van Wambeke,Sophie Bouma,
Bracket Stage,Women's Advanced,Bracket A,Quarter-final,Best of 3,Wannabe TWINZ,Freckle Force🔥,Wannabe TWINZ,15,12,15,9,,,Tatiana Delbecke,Elise Van der Stichelen,,Mady Smit,Roos van der Wielen,
Bracket Stage,Women's Advanced,Bracket A,P9: Quarter-final,Best of 3,Angels Landing,Bidi by Lidl,Bidi by Lidl,13,15,15,13,12,15,Lotte Verbeke,Jana Laporte,,Brenda Saeys,Bieke Wynant,
Bracket Stage,Women's Advanced,Bracket A,P9: Quarter-final,Best of 3,DeRaMiNi,M&M’s,DeRaMiNi,13,15,15,8,15,4,Demi Dewamme,Rani T'Kint,,Melene Marynissen,Marthe Michielsen,
Bracket Stage,Women's Advanced,Bracket A,P9: Quarter-final,Best of 3,Undercover,Call the midwife,Undercover,16,14,15,9,,,suzanne slob,Agnes Berveling,,Tess Mogensen,Lien Keersse,
Bracket Stage,Women's Advanced,Bracket A,Semi-final,Best of 3,AK,Wannabe TWINZ,AK,17,21,21,19,21,18,jana vandesijpe,Riet D'hoore,,Tatiana Delbecke,Elise Van der Stichelen,
Bracket Stage,Women's Advanced,Bracket A,Semi-final,Best of 3,C'est ok.,Aaaaaah sh*t,C'est ok.,21,16,21,15,,,Jade Lacombe,Inès Paysan,,Britt Vankemenade,Marie-Alexia Teisseyre,
Bracket Stage,Women's Advanced,Bracket A,P5: Semi-final,Best of 3,Freckle Force🔥,Amy / Marie,Amy / Marie,15,7,14,16,12,15,Mady Smit,Roos van der Wielen,,Amy Campbell,Marie Jubault,
Bracket Stage,Women's Advanced,Bracket A,P5: Semi-final,Best of 3,Gro-go-go!,Diel or no Diel,Gro-go-go!,15,13,17,15,,,Linde Van Wambeke,Sophie Bouma,,Shauny Dieltjes,Shannon Dieltjes,
Bracket Stage,Women's Advanced,Bracket A,P9: Semi-final,Best of 3,Can't touch this,Undercover,Can't touch this,15,11,15,7,,,Joni Neyens,Elien Alderweireldt,,suzanne slob,Agnes Berveling,
Bracket Stage,Women's Advanced,Bracket A,P9: Semi-final,Best of 3,Bidi by Lidl,DeRaMiNi,DeRaMiNi,8,15,15,13,14,16,Brenda Saeys,Bieke Wynant,,Demi Dewamme,Rani T'Kint,
Bracket Stage,Women's Advanced,Bracket A,Final,Best of 3,AK,C'est ok.,C'est ok.,19,21,19,21,,,jana vandesijpe,Riet D'hoore,,Jade Lacombe,Inès Paysan,
Bracket Stage,Women's Advanced,Bracket A,P3: Final,Best of 3,Aaaaaah sh*t,Wannabe TWINZ,Aaaaaah sh*t,1,0,1,0,,,Britt Vankemenade,Marie-Alexia Teisseyre,,Tatiana Delbecke,Elise Van der Stichelen,
Bracket Stage,Women's Advanced,Bracket A,P7: Final,Best of 3,Diel or no Diel,Freckle Force🔥,Freckle Force🔥,0,1,1,0,0,1,Shauny Dieltjes,Shannon Dieltjes,,Mady Smit,Roos van der Wielen,
