Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Women's Pro,Pool C,4,Single game,Loopy Juice,Tessa & Lyd,Loopy Juice,21,11,,,,,Lourna Szabanos,Kate B,,Lydia Malone,Tessa White,
Pool Play,Women's Pro,Pool D,4,Single game,THE BOYS,:-D,THE BOYS,21,18,,,,,Jaime Cunningham,Sylvia Dean,,Carina Kuo,Tung Lin,
Pool Play,Women's Pro,Pool D,4,Single game,Sharing is Caring,Juice,Sharing is Caring,21,15,,,,,Meagan Bown,Adrianna Grothause,,Janey Rubin,Rachel Dolan,
Pool Play,Women's Pro,Pool A,5,Single game,VVM,angst,angst,24,25,,,,,Olivia Jenki,Allie Foster,,Sarah Allen,Kalin Morgan,
Pool Play,Women's Pro,Pool A,5,Single game,Royalty,Tea Time,Royalty,21,14,,,,,Laurence Vallée,Katie Pierson,,Lou Washburn,Joelle Nguyen,
Pool Play,Women's Pro,Pool B,5,Single game,Space Monkeys 🚀🐒,Blind Date,Space Monkeys 🚀🐒,21,10,,,,,Rafaela Bastos,Stef Ding,,Antonia Dreiling,Katrina Gabriella,
Pool Play,Women's Pro,Pool B,5,Single game,Phan/Raber,Cheesin,Phan/Raber,21,17,,,,,Delanie Raber,Katheleen Phan,,Bel Belvedere,Amanda Jamieson,
Pool Play,Women's Pro,Pool C,5,Single game,Ruach,Tessa & Lyd,Ruach,21,9,,,,,Bekah Smith,Julia Brochu,,Lydia Malone,Tessa White,
Pool Play,Women's Pro,Pool C,5,Single game,Loopy Juice,Your Mom,Loopy Juice,23,21,,,,,Lourna Szabanos,Kate B,,Anna Lucas,Alyssa Drain,
Pool Play,Women's Pro,Pool D,5,Single game,THE BOYS,Juice,THE BOYS,21,9,,,,,Jaime Cunningham,Sylvia Dean,,Janey Rubin,Rachel Dolan,
Pool Play,Women's Pro,Pool D,5,Single game,Sharing is Caring,:-D,Sharing is Caring,21,10,,,,,Meagan Bown,Adrianna Grothause,,Carina Kuo,Tung Lin,
Pool Play,Women's Pro,Pool A,6,Single game,VVM,Royalty,Royalty,18,21,,,,,Olivia Jenki,Allie Foster,,Laurence Vallée,Katie Pierson,
Pool Play,Women's Pro,Pool A,6,Single game,angst,Tea Time,Tea Time,12,21,,,,,Sarah Allen,Kalin Morgan,,Lou Washburn,Joelle Nguyen,
Pool Play,Women's Pro,Pool B,6,Single game,Space Monkeys 🚀🐒,Phan/Raber,Phan/Raber,19,21,,,,,Rafaela Bastos,Stef Ding,,Delanie Raber,Katheleen Phan,
Pool Play,Women's Pro,Pool B,6,Single game,Blind Date,Cheesin,Blind Date,21,13,,,,,Antonia Dreiling,Katrina Gabriella,,Bel Belvedere,Amanda Jamieson,
Pool Play,Women's Pro,Pool C,6,Single game,Ruach,Loopy Juice,Ruach,21,12,,,,,Bekah Smith,Julia Brochu,,Lourna Szabanos,Kate B,
Pool Play,Women's Pro,Pool C,6,Single game,Tessa & Lyd,Your Mom,Tessa & Lyd,21,19,,,,,Lydia Malone,Tessa White,,Anna Lucas,Alyssa Drain,
Pool Play,Women's Pro,Pool D,6,Single game,THE BOYS,Sharing is Caring,Sharing is Caring,18,21,,,,,Jaime Cunningham,Sylvia Dean,,Meagan Bown,Adrianna Grothause,
Pool Play,Women's Pro,Pool D,6,Single game,Juice,:-D,:-D,14,21,,,,,Janey Rubin,Rachel Dolan,,Carina Kuo,Tung Lin,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,Royalty,Juice,Royalty,21,7,21,7,,,Laurence Vallée,Katie Pierson,,Janey Rubin,Rachel Dolan,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,VVM,Cheesin,VVM,21,11,21,16,,,Olivia Jenki,Allie Foster,,Bel Belvedere,Amanda Jamieson,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,angst,Your Mom,angst,21,7,21,11,,,Sarah Allen,Kalin Morgan,,Anna Lucas,Alyssa Drain,
