Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group D,6,Single game,V⚡️RGA,Bot House,Bot House,10,15,,,,,,,,,Caleb Cummings,Dawson Morgan,,,West Peterson,Owen Lippman,,
Group Stage,Open Pro,Group D,6,Single game,FTR Frontier,Shaytar/Wideman,Shaytar/Wideman,13,15,,,,,,,,,Jake Woolley,Kyan Kornfeld,,,Justin Shaytar,Nick Wideman,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,J.A.R.V.I.S.,Degenerates,J.A.R.V.I.S.,21,10,14,21,21,11,,,,,Josh Fragiacomo,Connor Nelson,,,Thomas Hoffman,Jack coolbaugh,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Kingdom Come,hotballers,Kingdom Come,21,12,21,17,,,,,,,Grant Klapwijk,Matthew Cole,,,Tyler Babin,Joshua Hachey,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Numb,minus aura,Numb,21,12,21,16,,,,,,,Paq Clifford,Kieran Rose,,,Nathan Robertt,Josh Hutko,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,V⚡️RGA,foolish,V⚡️RGA,25,23,21,15,,,,,,,Caleb Cummings,Dawson Morgan,,,Sunny Gu,Lucas Pruett,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Extra,Incognito,Extra,21,11,21,17,,,,,,,Emerson Dean,Jé Gagnon,,,Joseph Kaylor,Michael Du,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Double Clutch,Bang Bros Inc.,Double Clutch,21,19,21,17,,,,,,,Rahul Murthy,fredric hinkle,,,Kyle Fowler,Adam Porter,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,On the Nose,Shaytar/Wideman,On the Nose,19,21,21,17,21,19,,,,,Justin Barr,Dan Abrams,,,Justin Shaytar,Nick Wideman,,
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Bot House,FTR Frontier,Bot House,21,12,21,18,,,,,,,West Peterson,Owen Lippman,,,Jake Woolley,Kyan Kornfeld,,
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,J.A.R.V.I.S.,Bot House,J.A.R.V.I.S.,14,21,21,12,21,19,,,,,Josh Fragiacomo,Connor Nelson,,,West Peterson,Owen Lippman,,
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,Kingdom Come,On the Nose,Kingdom Come,24,22,29,27,,,,,,,Grant Klapwijk,Matthew Cole,,,Justin Barr,Dan Abrams,,
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,Numb,Double Clutch,Numb,20,22,21,16,21,13,,,,,Paq Clifford,Kieran Rose,,,Rahul Murthy,fredric hinkle,,
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,V⚡️RGA,Extra,Extra,19,21,13,21,,,,,,,Caleb Cummings,Dawson Morgan,,,Emerson Dean,Jé Gagnon,,
Bracket Stage,Open Pro,Bracket A,P9: Quarter-final,Single game,FTR Frontier,Degenerates,Degenerates,0,1,,,,,,,,,Jake Woolley,Kyan Kornfeld,,,Thomas Hoffman,Jack coolbaugh,,
Bracket Stage,Open Pro,Bracket A,P9: Quarter-final,Single game,Shaytar/Wideman,hotballers,hotballers,19,21,,,,,,,,,Justin Shaytar,Nick Wideman,,,Tyler Babin,Joshua Hachey,,
Bracket Stage,Open Pro,Bracket A,P9: Quarter-final,Single game,Incognito,foolish,foolish,18,21,,,,,,,,,Joseph Kaylor,Michael Du,,,Sunny Gu,Lucas Pruett,,
Bracket Stage,Open Pro,Bracket A,Semi-final,Best of 3,J.A.R.V.I.S.,Extra,Extra,19,21,16,21,,,,,,,Josh Fragiacomo,Connor Nelson,,,Emerson Dean,Jé Gagnon,,
Bracket Stage,Open Pro,Bracket A,Semi-final,Best of 3,Kingdom Come,Numb,Kingdom Come,21,18,21,14,,,,,,,Grant Klapwijk,Matthew Cole,,,Paq Clifford,Kieran Rose,,
Bracket Stage,Open Pro,Bracket A,P5: Semi-final,Single game,V⚡️RGA,Bot House,V⚡️RGA,17,15,,,,,,,,,Caleb Cummings,Dawson Morgan,,,West Peterson,Owen Lippman,,
Bracket Stage,Open Pro,Bracket A,P5: Semi-final,Single game,Double Clutch,On the Nose,On the Nose,19,21,,,,,,,,,Rahul Murthy,fredric hinkle,,,Justin Barr,Dan Abrams,,
Bracket Stage,Open Pro,Bracket A,P9: Semi-final,Single game,Degenerates,foolish,Degenerates,1,0,,,,,,,,,Thomas Hoffman,Jack coolbaugh,,,Sunny Gu,Lucas Pruett,,
Bracket Stage,Open Pro,Bracket A,P9: Semi-final,Single game,hotballers,minus aura,hotballers,1,0,,,,,,,,,Tyler Babin,Joshua Hachey,,,Nathan Robertt,Josh Hutko,,
Bracket Stage,Open Pro,Bracket A,Final,Best of 3,Extra,Kingdom Come,Extra,24,22,21,13,,,,,,,Emerson Dean,Jé Gagnon,,,Grant Klapwijk,Matthew Cole,,
Bracket Stage,Open Pro,Bracket A,P9: Final,Single game,Degenerates,hotballers,Degenerates,21,16,,,,,,,,,Thomas Hoffman,Jack coolbaugh,,,Tyler Babin,Joshua Hachey,,
Group Stage,Women's Contender,Group A,1,Single game,Pierson/Phan,Semi-Aquatic Mammals of Action,Pierson/Phan,21,19,,,,,,,,,Katheleen Phan,Katie Pierson,,,Joelle Nguyen,Jhanaj Quispe,,
Group Stage,Women's Contender,Group A,1,Single game,KickStart,THUS Parabatai,KickStart,25,24,,,,,,,,,Sarah Allen,Karah Hui,,,Kayla Wu,Kalin Morgan,,
Group Stage,Women's Contender,Group B,1,Single game,Dough Boys,kara & chloe,Dough Boys,21,10,,,,,,,,,Kirstie Savage,Camille Anderson,,,chloe degraff,kara klavins,,
